What is your name?,What is your gender?,What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?,Did you do any certification courses additionally?,"If yes, please specify your certificate course title.",Are you working?,"If yes, then what is/was your first Job title in your current field of work? If not applicable, write NA.","Have you done masters after undergraduation? If yes, mention your field of masters.(Eg; Masters in Mathematics)"
Eko Wahyudi,Male,Sistem Informasi,Manajemen Sistem Informasi,"Database, Data Management, BI","SQL, SAP, Business Analysis, Excel",6.16,No,NA,No,NA,Magister Sistem Informasi
Yoga Aditya,Female,Kedokteran,Kedokteran Umum,"Penelitian Medis, Farmakologi","Tindakan Medis, Jahit Luka, Infus",7.52,No,NA,Yes,Peneliti Medis,Spesialis Penyakit Dalam
Kevin Surya,Female,B.Com,Commerce,"Banking, Finance, Economics","Financial Modeling, Excel, SAP",7.34,No,NA,Yes,,NA
Omar Hakim,Male,Kelautan,Teknologi Kelautan,"Teknologi Kelautan, Survei, Remote Sensing","Remote Sensing, Citra Satelit, Analisis",8.81,No,NA,No,NA,Magister Ilmu Kelautan
Fitri Handayani,Male,Peternakan,Produksi Ternak,"Nutrisi, Pakan Ternak, Formulasi","Pengolahan Daging, Susu, Telur",8.01,Yes,,No,NA,NA
Dita Maharani,Female,Sastra Inggris,Linguistik,"Penulisan, Sastra, Kreatif","Content Writing, Copywriting, Editing",7.29,No,NA,No,,NA
Wahyu Nugroho,Female,Kedokteran,Kedokteran Umum,"Penelitian Medis, Farmakologi","Tindakan Medis, Jahit Luka, Infus",7.86,Yes,NA,Yes,Dokter Gigi,
Irfan Maulana,Male,B.Tech,Mechanical,"AI, Machine Learning, Deep Learning","TensorFlow, PyTorch, Machine Learning",7.35,No,,Yes,IoT Developer,
Ulfah Rahmawati,Male,Hubungan Internasional,Politik Internasional,"Perdagangan Internasional, Ekonomi Global","Komunikasi, Presentasi, Diplomasi",6.74,No,,No,NA,NA
Vino Pratama,Male,Pertanian,Hortikultura,"Pertanian, Budidaya, Agronomi","Budidaya Tanaman, Analisis Tanah, GIS",8.0,No,NA,Yes,Agronomis,NA
Vino Pratama,Male,Hukum,Hukum Bisnis,"Hukum Internasional, Diplomasi","MS Word, Legal Research, Presentasi",6.16,No,,Yes,Notaris,NA
Irfan Maulana,Female,Peternakan,Teknologi Hasil Ternak,"Nutrisi, Pakan Ternak, Formulasi","Pengolahan Daging, Susu, Telur",8.69,No,NA,Yes,Nutritionist Ternak,Masters in Animal Science
Tegar Wicaksono,Female,Kelautan,Teknologi Kelautan,"Teknologi Kelautan, Survei, Remote Sensing","Penelitian, Lab, Sampling, Analisis Data",7.18,No,NA,No,NA,Masters in Oceanography
Vino Pratama,Female,Ilmu Komunikasi,Public Relations,"Digital Marketing, Social Media, Konten","Social Media, Content Creation, SEO",6.6,No,,No,NA,NA
Fara Aulia,Female,Pertanian,Agroteknologi,"Pertanian, Budidaya, Agronomi","Drone Pertanian, Smart Farming, IoT",9.45,No,NA,No,NA,NA
Nita Anggraini,Male,BA,History,"Psychology, Counseling, HR","Public Speaking, Leadership, Teamwork",7.1,Yes,HR Certification,No,NA,Masters in Journalism
Gilang Ramadhan,Female,B.Tech,Information Technology,"Software Engineering, Cloud, DevOps","Python, Java, C++, SQL",8.23,Yes,Google Cloud Professional,No,NA,NA
Ulfa Nuraini,Female,Hukum,Hukum Perdata,"Hukum Internasional, Diplomasi","MS Word, Legal Research, Presentasi",9.26,No,NA,No,NA,NA
Kevin Surya,Male,Ilmu Komunikasi,Penyiaran,"Public Relations, Branding, Komunikasi","Penulisan, Editing, Wawancara",7.86,No,NA,No,NA,Masters in Communication
Mohammad Rizki,Male,Teknik Elektro,Tenaga Listrik,"Elektronika, Embedded Systems, IoT","PLC, SCADA, Otomasi, Siemens",8.36,Yes,NA,Yes,Automation Engineer,
Budi Santoso,Female,Teknik Industri,Manajemen Operasi,"Manufaktur, Produksi, Lean Manufacturing","MS Project, ERP, SAP",7.33,Yes,,No,,
Dita Maharani,Female,Ekonomi Pembangunan,Ekonomi Regional,"Perdagangan Internasional, Ekspor Impor","MS Excel, Statistik, Data Analysis",7.55,Yes,Sertifikasi Perencana,No,NA,Masters in Public Policy
Eko Wahyudi,Male,Kelautan,Ilmu Kelautan,"Teknologi Kelautan, Survei, Remote Sensing","Penelitian, Lab, Sampling, Analisis Data",7.46,No,NA,No,NA,NA
Yogi Permana,Male,Perikanan,Sosial Ekonomi Perikanan,"Pengolahan Ikan, Teknologi Pangan","GIS, Pemetaan Perairan, Analisis",6.2,No,NA,Yes,Penyuluh Perikanan,NA
Hana Sari,Male,Teknik Elektro,Tenaga Listrik,"Tenaga Listrik, Energi Terbarukan","PLC, SCADA, Otomasi, Siemens",8.86,Yes,Cisco CCNA,No,NA,NA
Nina Kusuma,Female,Sastra Inggris,Linguistik,"Pengajaran, Pendidikan, TEFL","Content Writing, Copywriting, Editing",8.43,No,NA,No,NA,Masters in Translation
Shinta Dewi,Female,Ilmu Komunikasi,Komunikasi Digital,"Public Relations, Branding, Komunikasi","Social Media, Content Creation, SEO",6.13,Yes,PR Certification,No,NA,MA Jurnalistik
Tegar Wicaksono,Male,Kedokteran,Spesialis Anak,"Penelitian Medis, Farmakologi","Penelitian, Statistik Medis, SPSS",8.28,No,NA,Yes,Dokter Spesialis,NA
Nina Kusuma,Female,B.Com,Commerce,"Banking, Finance, Economics","Tally, MS Excel, Accounting",6.91,No,NA,No,NA,Masters in Accounting
Xena Pratiwi,Female,Pendidikan,PGSD,"Teknologi Pendidikan, E-Learning","Mengajar, RPP, Kurikulum Merdeka",9.29,No,,Yes,Dosen,NA
Nina Kusuma,Male,Kedokteran,Kedokteran Gigi,"Penelitian Medis, Farmakologi","Penelitian, Statistik Medis, SPSS",9.26,Yes,ATLS,No,NA,NA
Hesti Ratnasari,Male,Kelautan,Oseanografi,"Konservasi Laut, Ekosistem, Terumbu Karang","Penelitian, Lab, Sampling, Analisis Data",6.12,Yes,Remote Sensing Cert,Yes,Konsultan Lingkungan Laut,Masters in Marine Science
Lisa Amelia,Male,Kelautan,Oseanografi,"Teknologi Kelautan, Survei, Remote Sensing","Penelitian, Lab, Sampling, Analisis Data",7.64,Yes,Remote Sensing Cert,No,NA,Magister Ilmu Kelautan
Hesti Ratnasari,Female,BA,English,"Writing, Communication, Media","Communication, Writing, Research",6.4,No,NA,No,,NA
Mohammad Rizki,Female,B.Sc,Mathematics,"Data Science, Analytics, AI","Python, R, MATLAB, Statistics",7.76,Yes,R Programming,No,NA,NA
Ulfah Rahmawati,Female,B.Tech,Information Technology,"IoT, Embedded Systems, Robotics","AWS, Docker, Kubernetes, DevOps",8.4,No,NA,Yes,ML Engineer,NA
Evan Setiawan,Female,Pendidikan,Pendidikan IPA,"Bimbingan Konseling, Psikologi Pendidikan","E-Learning, LMS, Canva, Presentasi",7.3,No,,No,NA,NA
Ulfa Nuraini,Female,B.Com,Business Studies,"Finance, Accounting, Business","Tally, MS Excel, Accounting",6.23,No,NA,No,NA,NA
Yogi Permana,Male,Akuntansi,Akuntansi Manajemen,"Akuntansi, Perpajakan, Keuangan","MS Excel, Pivot, Financial Reporting",7.81,No,NA,No,NA,Magister Akuntansi
Kevin Surya,Male,Desain Komunikasi Visual,Animasi,"Desain Grafis, Branding, Visual","Adobe Illustrator, Photoshop, InDesign",8.14,Yes,Figma Certification,No,NA,NA
Taufik Hidayat,Female,Sastra Inggris,Sastra,"Pengajaran, Pendidikan, TEFL","Mengajar, Kurikulum, TOEFL",8.54,No,NA,No,NA,NA
Zara Nabila,Male,Perkapalan,Teknik Sistem Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","Marine Engineering, Pemeliharaan Kapal",8.98,No,NA,No,NA,Masters in Marine Engineering
Budi Santoso,Female,Teknik Industri,Logistik,"Supply Chain, Logistik, Operasional","MS Project, ERP, SAP",8.01,Yes,,No,NA,NA
Ulfah Rahmawati,Female,Sastra Inggris,Linguistik,"Penulisan, Sastra, Kreatif","Mengajar, Kurikulum, TOEFL",8.41,No,,Yes,,NA
Xena Pratiwi,Female,Farmasi,Farmakologi,"Farmasi Klinis, Obat, Pasien","QC, QA, GMP, HPLC",6.94,Yes,Regulatory Affairs Cert,No,NA,Sp. Farmasi Klinis
Putri Ayu,Female,Ilmu Komunikasi,Komunikasi Digital,"Digital Marketing, Social Media, Konten","Social Media, Content Creation, SEO",6.91,No,NA,Yes,Public Relations Officer,MM Marketing Communication
Nina Kusuma,Male,Kelautan,Konservasi Sumber Daya Laut,"Konservasi Laut, Ekosistem, Terumbu Karang","Diving, Survei Laut, GIS, QGIS",7.66,No,NA,Yes,Konsultan Lingkungan Laut,NA
Agus Salim,Female,Pertanian,Hortikultura,"Agribisnis, Wirausaha, Pasar Tani","Budidaya Tanaman, Analisis Tanah, GIS",8.91,Yes,Smart Farming Cert,Yes,Smart Farming Specialist,NA
Ivan Gunawan,Female,Desain Komunikasi Visual,Desain UI/UX,"Animasi, Motion Graphics, Video","Figma, Adobe XD, Sketch, Prototyping",8.22,Yes,Adobe Certified,Yes,Visual Artist,Masters in Design
Wulan Sari,Male,Akuntansi,Audit,"Audit, Compliance, Internal Control","MS Excel, Pivot, Financial Reporting",7.62,Yes,CA,Yes,Auditor,NA
Budi Santoso,Female,Teknik Elektro,Telekomunikasi,"Elektronika, Embedded Systems, IoT","PLC, SCADA, Otomasi, Siemens",9.15,Yes,Sertifikasi BNSP Elektro,Yes,Automation Engineer,NA
Ulfa Nuraini,Female,Perkapalan,Sistem Perkapalan,"Offshore, Migas, Industri Maritim","Solidworks, ANSYS, Analisis Struktur",9.31,Yes,Class NK Certification,Yes,,NA
Yogi Permana,Male,BCA,Software Development,"Data Science, AI, Machine Learning","Python, Java, SQL",7.58,No,NA,Yes,Web Developer,Masters in Data Science
Yogi Permana,Female,Akuntansi,Akuntansi Keuangan,"Akuntansi, Perpajakan, Keuangan","MS Excel, Pivot, Financial Reporting",6.44,No,,Yes,Financial Controller,NA
Yoga Aditya,Male,Perkapalan,Teknik Perkapalan,"Desain Kapal, Konstruksi, Naval Architecture","Marine Engineering, Pemeliharaan Kapal",9.38,Yes,Class NK Certification,Yes,Naval Architect,NA
Mohammad Rizki,Male,Teknik Elektro,Elektronika,"Telekomunikasi, Jaringan, RF","AutoCAD Electrical, ETAP, MATLAB",7.82,Yes,NA,Yes,Electrical Engineer,NA
Xena Pratiwi,Female,Teknik Industri,Teknik Produksi,"Supply Chain, Logistik, Operasional","Analisis Data, Minitab, SPSS",7.08,Yes,SAP MM,No,NA,
Lisa Amelia,Male,Psikologi,Psikologi Industri,"Penelitian, Asesmen, Psikometri","Konseling, Wawancara, Empati",6.95,No,NA,Yes,Psikolog,MM SDM
Lisa Amelia,Male,Manajemen,Manajemen Pemasaran,"Keuangan, Investasi, Bisnis","MS Excel, Business Analysis, PowerPoint",8.75,Yes,NA,Yes,HR Manager,NA
Budi Santoso,Male,Desain Komunikasi Visual,Desain UI/UX,"Desain Grafis, Branding, Visual","Figma, Adobe XD, Sketch, Prototyping",6.12,Yes,NA,Yes,Visual Artist,NA
Andi Pratama,Female,B.Tech,Information Technology,"Software Engineering, Cloud, DevOps","TensorFlow, PyTorch, Machine Learning",9.85,Yes,NA,No,NA,NA
Omar Hakim,Male,Hubungan Internasional,Organisasi Internasional,"Organisasi Internasional, PBB, NGO","Analisis Politik, Riset, Laporan",9.29,No,NA,Yes,Staf Kedutaan,
Vino Pratama,Male,Sastra Inggris,Sastra,"Penerjemahan, Bahasa, Linguistik","Content Writing, Copywriting, Editing",6.45,Yes,IELTS 7.0+,Yes,Penerjemah,NA
Lisa Amelia,Female,Hukum,Hukum Bisnis,"Hukum Internasional, Diplomasi","Negosiasi, Mediasi, Komunikasi",8.27,No,NA,Yes,Notaris,NA
Vino Pratama,Female,BCA,Software Development,"Programming, Web Development, Software","Python, Java, SQL",9.73,Yes,AWS Cloud Practitioner,Yes,Web Developer,NA
Mohammad Rizki,Female,Teknik Industri,Logistik,"Manufaktur, Produksi, Lean Manufacturing","MS Project, ERP, SAP",8.24,No,NA,Yes,Quality Engineer,NA
Yogi Permana,Female,Sastra Inggris,Linguistik,"Penulisan, Sastra, Kreatif","Mengajar, Kurikulum, TOEFL",8.67,No,NA,Yes,Content Writer,NA
Dita Maharani,Male,Psikologi,Psikologi Klinis,"Penelitian, Asesmen, Psikometri","HR Management, Rekrutmen, Training",7.45,No,NA,No,NA,
Lisa Amelia,Female,Pendidikan,Bimbingan Konseling,"Mengajar, Kurikulum, Pendidikan","Mengajar, RPP, Kurikulum Merdeka",9.19,Yes,Sertifikasi Guru,Yes,Instruktur,Magister Pendidikan
Kevin Surya,Female,Pendidikan,Pendidikan Bahasa,"Mengajar, Kurikulum, Pendidikan","E-Learning, LMS, Canva, Presentasi",7.03,Yes,,No,NA,M.Pd
Hesti Ratnasari,Female,Sistem Informasi,Enterprise System,"Database, Data Management, BI","Python, Tableau, Power BI, SQL",6.5,No,NA,Yes,Business Analyst,NA
Nita Anggraini,Male,Kelautan,Ilmu Kelautan,"Konservasi Laut, Ekosistem, Terumbu Karang","Diving, Survei Laut, GIS, QGIS",6.52,Yes,GIS Certification,No,NA,NA
Oscar Firmansyah,Female,B.Sc,Physics,"Data Science, Analytics, AI","Python, R, MATLAB, Statistics",8.69,Yes,R Programming,No,,Masters in Mathematics
Hesti Ratnasari,Male,Kedokteran,Spesialis Bedah,"Klinik, Pasien, Diagnosis","Penelitian, Statistik Medis, SPSS",8.27,Yes,NA,No,NA,Spesialis Anak
Citra Dewi,Female,Hukum,Hukum Bisnis,"Litigasi, Advokasi, Peradilan","MS Word, Legal Research, Presentasi",7.59,Yes,,No,NA,Magister Hukum
Putri Ayu,Female,Teknik Industri,Logistik,"Supply Chain, Logistik, Operasional","AutoCAD, Visio, Lean Six Sigma",8.3,No,NA,No,NA,NA
Wahyu Nugroho,Male,Hukum,Hukum Perdata,"Litigasi, Advokasi, Peradilan","MS Word, Legal Research, Presentasi",8.74,Yes,NA,Yes,Legal Consultant,NA
Fara Aulia,Female,Perikanan,Sosial Ekonomi Perikanan,"Budidaya Ikan, Akuakultur, Tambak","GIS, Pemetaan Perairan, Analisis",6.37,Yes,NA,Yes,Pembudidaya Ikan,Masters in Fisheries
Tegar Wicaksono,Male,Sistem Informasi,E-Business,"IT Project Management, Konsultasi","Python, Tableau, Power BI, SQL",9.15,Yes,Oracle Database,No,,MBA IT
Sari Indah,Female,B.Tech,Computer Science,"IoT, Embedded Systems, Robotics","TensorFlow, PyTorch, Machine Learning",9.31,No,NA,No,NA,NA
Ulfa Nuraini,Female,BCA,Software Development,"Cybersecurity, Networking, Cloud","JavaScript, HTML, CSS, React",9.04,Yes,AWS Cloud Practitioner,No,NA,NA
Fitri Handayani,Female,Sastra Inggris,Penerjemahan,"Penulisan, Sastra, Kreatif","Content Writing, Copywriting, Editing",8.59,Yes,TEFL Certification,No,NA,MA Linguistics
Wulan Sari,Female,Manajemen,Manajemen Pemasaran,"Keuangan, Investasi, Bisnis","Financial Planning, Budgeting, Excel",7.7,No,NA,No,NA,NA
Mohammad Rizki,Female,B.Tech,Civil,"IoT, Embedded Systems, Robotics","AWS, Docker, Kubernetes, DevOps",8.19,Yes,NA,Yes,DevOps Engineer,Masters in Computer Science
Julia Permata,Female,Hukum,HTN,"Hukum Bisnis, Kontrak, Korporasi","Negosiasi, Mediasi, Komunikasi",6.45,No,NA,Yes,Notaris,
Julia Permata,Female,Farmasi,Farmasi Klinis,"Industri Farmasi, Produksi, QC","Compounding, Dispensing, Farmakologi",9.25,Yes,,Yes,Regulatory Affairs,
Evan Setiawan,Female,Hubungan Internasional,Politik Internasional,"Perdagangan Internasional, Ekonomi Global","Komunikasi, Presentasi, Diplomasi",9.59,Yes,NA,Yes,Staf NGO Internasional,NA
Qori Annisa,Female,Kelautan,Konservasi Sumber Daya Laut,"Konservasi Laut, Ekosistem, Terumbu Karang","Remote Sensing, Citra Satelit, Analisis",7.31,Yes,Remote Sensing Cert,No,NA,Magister Ilmu Kelautan
Leni Susanti,Male,Farmasi,Farmasi Klinis,"Penelitian, Farmakologi, Drug Discovery","Penelitian, Laboratorium, Analisis",8.07,No,NA,Yes,Peneliti Farmasi,Masters in Pharmacology
Dita Maharani,Female,Psikologi,Psikologi Klinis,"HR, Rekrutmen, Pengembangan SDM","HR Management, Rekrutmen, Training",7.9,No,NA,Yes,,NA
Julia Permata,Male,Perikanan,Teknologi Hasil Perikanan,"Budidaya Ikan, Akuakultur, Tambak","GIS, Pemetaan Perairan, Analisis",6.94,No,NA,Yes,Quality Control Perikanan,NA
Nina Kusuma,Female,Sistem Informasi,E-Business,"IT Project Management, Konsultasi","PHP, MySQL, Web Development",8.5,No,,Yes,ERP Consultant,NA
Andi Pratama,Male,Desain Komunikasi Visual,Desain UI/UX,"Animasi, Motion Graphics, Video","Adobe Illustrator, Photoshop, InDesign",8.71,Yes,Adobe Certified,No,NA,Masters in UX
Lisa Amelia,Male,Manajemen,Manajemen Keuangan,"SDM, Organisasi, Leadership","MS Excel, Business Analysis, PowerPoint",7.16,Yes,NA,No,NA,NA
Gilang Ramadhan,Female,Manajemen,Manajemen SDM,"Bisnis, Pemasaran, Strategi","Financial Planning, Budgeting, Excel",7.51,No,NA,No,NA,Masters in Management
Omar Hakim,Male,Pertanian,Ilmu Tanah,"Agribisnis, Wirausaha, Pasar Tani","Budidaya Tanaman, Analisis Tanah, GIS",7.83,Yes,,Yes,Agribisnis Manager,
Yoga Aditya,Female,Desain Komunikasi Visual,Desain Grafis,"Animasi, Motion Graphics, Video","After Effects, Premiere Pro, Animasi",7.31,Yes,Google UX Design,Yes,Visual Artist,NA
Julia Permata,Female,Peternakan,Nutrisi Ternak,"Nutrisi, Pakan Ternak, Formulasi","Pengolahan Daging, Susu, Telur",8.88,Yes,,Yes,Penyuluh Peternakan,NA
Taufik Hidayat,Female,B.Tech,Computer Science,"AI, Machine Learning, Deep Learning","AWS, Docker, Kubernetes, DevOps",6.7,Yes,AWS Solutions Architect,No,NA,Masters in AI
Jeni Kurniawan,Female,Peternakan,Kesehatan Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Pengolahan Daging, Susu, Telur",7.89,No,NA,Yes,Quality Control Produk Ternak,Masters in Animal Science
Wahyu Nugroho,Male,BCA,Information Technology,"Cybersecurity, Networking, Cloud","C++, Data Structures, Algorithms",8.99,Yes,Python Certification,No,NA,NA
Cahyo Wibowo,Male,BA,Sociology,"Public Policy, Law, Governance","MS Office, Content Writing, SEO",7.0,No,,Yes,Public Relations,Masters in Journalism
Fara Aulia,Female,Kedokteran,Kedokteran Umum,"Bedah, Operasi, Spesialis","Diagnosis, Anamnesis, Pemeriksaan Fisik",7.55,Yes,,Yes,Dokter Gigi,NA
Ivan Gunawan,Male,Teknik Industri,Logistik,"Quality Control, Six Sigma, Kaizen","Analisis Data, Minitab, SPSS",7.89,Yes,,No,NA,MBA Operations
Ulfa Nuraini,Male,Perikanan,Manajemen Sumberdaya Perairan,"Pengolahan Ikan, Teknologi Pangan","Budidaya Ikan, Kualitas Air, Pakan",7.94,Yes,Sertifikasi Akuakultur,No,,Masters in Aquaculture
Lisa Amelia,Female,Desain Komunikasi Visual,Ilustrasi,"UI/UX, Product Design, Prototyping","Figma, Adobe XD, Sketch, Prototyping",6.16,Yes,Google UX Design,No,NA,NA
Nina Kusuma,Female,Kedokteran,Spesialis Bedah,"Bedah, Operasi, Spesialis","Diagnosis, Anamnesis, Pemeriksaan Fisik",8.21,No,NA,No,NA,NA
Miko Prasetyo,Male,Hukum,Hukum Internasional,"Litigasi, Advokasi, Peradilan","MS Word, Legal Research, Presentasi",8.61,Yes,Sertifikasi Notaris,Yes,Pengacara,Masters in Law
Kevin Surya,Female,Desain Komunikasi Visual,Animasi,"UI/UX, Product Design, Prototyping","After Effects, Premiere Pro, Animasi",7.0,No,NA,Yes,Graphic Designer,NA
Fara Aulia,Male,Farmasi,Farmasi Industri,"Penelitian, Farmakologi, Drug Discovery","Compounding, Dispensing, Farmakologi",8.05,Yes,STRA Apoteker,Yes,Apoteker,NA
Bella Safira,Female,Psikologi,Psikologi Sosial,"Penelitian, Asesmen, Psikometri","Konseling, Wawancara, Empati",7.91,Yes,HRBP Certification,Yes,Konselor,Magister Psikologi
Wahyu Nugroho,Female,Manajemen,Manajemen Pemasaran,"SDM, Organisasi, Leadership","MS Excel, Business Analysis, PowerPoint",7.37,Yes,CFA Level 1,Yes,Business Analyst,
Eko Wahyudi,Male,Ilmu Komunikasi,Komunikasi Digital,"Digital Marketing, Social Media, Konten","Public Speaking, Media Relations, Canva",7.95,Yes,Content Writing,Yes,,NA
Ulfa Nuraini,Female,Kelautan,Ilmu Kelautan,"Oseanografi, Penelitian Laut, Ekspedisi","Diving, Survei Laut, GIS, QGIS",8.46,Yes,NA,Yes,Konservasi Spesialis,NA
Citra Dewi,Male,Pertanian,Agroteknologi,"Teknologi Pertanian, Smart Farming, IoT","Agribisnis, Manajemen Usaha Tani",9.28,No,NA,No,NA,NA
Qori Annisa,Female,Hubungan Internasional,Politik Internasional,"Organisasi Internasional, PBB, NGO","Bahasa Inggris, Bahasa Asing, Negosiasi",7.91,No,NA,Yes,Analis Politik,NA
Kevin Surya,Female,Hukum,Hukum Perdata,"Hukum Bisnis, Kontrak, Korporasi","Negosiasi, Mediasi, Komunikasi",6.49,No,,No,NA,NA
Agus Salim,Female,Sistem Informasi,Enterprise System,"IT Project Management, Konsultasi","Python, Tableau, Power BI, SQL",7.64,No,NA,No,NA,NA
Nina Kusuma,Male,Pendidikan,Pendidikan Bahasa,"Teknologi Pendidikan, E-Learning","Mengajar, RPP, Kurikulum Merdeka",8.32,No,NA,No,NA,NA
Gilang Ramadhan,Female,Sastra Inggris,Penerjemahan,"Penulisan, Sastra, Kreatif","Mengajar, Kurikulum, TOEFL",6.18,Yes,TEFL Certification,Yes,Editor,NA
Krisna Bayu,Male,Sistem Informasi,E-Business,"IT Project Management, Konsultasi","PHP, MySQL, Web Development",8.08,Yes,Oracle Database,Yes,System Analyst,NA
Fara Aulia,Female,Perkapalan,Teknik Perkapalan,"Offshore, Migas, Industri Maritim","AutoCAD, Maxsurf, Ship Design",8.91,Yes,Sertifikasi IMO,Yes,Naval Architect,NA
Vino Pratama,Male,Akuntansi,Akuntansi Manajemen,"Audit, Compliance, Internal Control","SAP, Accurate, Jurnal Akuntansi",7.31,No,NA,No,NA,NA
Kevin Surya,Male,Farmasi,Farmasi Industri,"Industri Farmasi, Produksi, QC","Compounding, Dispensing, Farmakologi",8.26,No,NA,Yes,Peneliti Farmasi,NA
Hana Sari,Male,Psikologi,Psikologi Sosial,"Konseling, Terapi, Kesehatan Mental","Konseling, Wawancara, Empati",6.93,No,NA,No,NA,NA
Cahyo Wibowo,Male,Teknik Industri,Logistik,"Manufaktur, Produksi, Lean Manufacturing","MS Project, ERP, SAP",9.41,No,,No,NA,Masters in Supply Chain
Julia Permata,Male,Sistem Informasi,Manajemen Sistem Informasi,"IT Project Management, Konsultasi","Python, Tableau, Power BI, SQL",7.08,Yes,CBAP,No,NA,NA
Reza Mahendra,Male,Pendidikan,PGSD,"Bimbingan Konseling, Psikologi Pendidikan","Mengajar, RPP, Kurikulum Merdeka",6.67,Yes,Kurikulum Merdeka,No,NA,NA
Qirana Putri,Female,Perkapalan,Teknik Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","Marine Engineering, Pemeliharaan Kapal",6.12,Yes,Sertifikasi IMO,No,NA,NA
Ragil Saputro,Female,Perikanan,Sosial Ekonomi Perikanan,"Pengolahan Ikan, Teknologi Pangan","Pengolahan Ikan, HACCP, Food Safety",8.73,No,,No,NA,NA
Fara Aulia,Female,Akuntansi,Perpajakan,"Akuntansi, Perpajakan, Keuangan","MS Excel, Pivot, Financial Reporting",9.31,Yes,CA,Yes,Akuntan,
Putri Ayu,Male,Ekonomi Pembangunan,Ekonomi Moneter,"Ekonomi, Kebijakan, Pembangunan","MS Excel, Statistik, Data Analysis",6.05,No,NA,Yes,Analis Kebijakan,NA
Hana Sari,Male,Hubungan Internasional,Studi Keamanan,"Diplomasi, Politik Luar Negeri, Negosiasi","Komunikasi, Presentasi, Diplomasi",9.37,Yes,TOEFL 600+,Yes,Diplomat,
Yoga Aditya,Female,B.Sc,Electronics,"Research, Mathematics, Statistics","Data Analysis, Machine Learning, SQL",9.02,No,NA,Yes,Lab Researcher,NA
Lisa Amelia,Male,Ilmu Komunikasi,Jurnalistik,"Jurnalistik, Media, Penulisan Berita","Penulisan, Editing, Wawancara",6.92,Yes,Google Digital Marketing,Yes,Public Relations Officer,MM Marketing Communication
Sari Indah,Female,Ekonomi Pembangunan,Ekonomi Internasional,"Ekonomi, Kebijakan, Pembangunan","Kebijakan Publik, Riset, Laporan",6.88,No,NA,Yes,Staf Pemerintahan,
Wahyu Nugroho,Male,Sastra Inggris,Pengajaran Bahasa Inggris,"Penerjemahan, Bahasa, Linguistik","Content Writing, Copywriting, Editing",8.68,No,NA,Yes,Penerjemah,NA
Miko Prasetyo,Male,Peternakan,Teknologi Hasil Ternak,Teknologi Pengolahan Hasil Ternak,"Formulasi Pakan, Nutrisi, Lab",7.53,No,NA,No,NA,NA
Mohammad Rizki,Male,Kelautan,Oseanografi,"Oseanografi, Penelitian Laut, Ekspedisi","Penelitian, Lab, Sampling, Analisis Data",7.27,No,NA,No,NA,NA
Dita Maharani,Female,Ilmu Komunikasi,Public Relations,"Jurnalistik, Media, Penulisan Berita","Social Media, Content Creation, SEO",8.63,No,NA,Yes,Public Relations Officer,NA
